,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.007488618,-0.0029135374,0.012315349,0.016056867,0.007051868,0.00080419314,0.011580466,0.0033713647,0.005505665,-0.0061683664,-0.007887653,-0.009054325,0.008219706,-0.00046957924,0.002197236,-0.0081753135,0.013286816,-0.002640186,-0.010924795
1,0.007488618,-0.0029135374,0.012315349,0.016056867,0.007051868,0.00080419314,0.011580466,0.0033713647,0.005505665,-0.0061683664,-0.007887653,-0.009054325,0.008219706,-0.00046957924,0.002197236,-0.0081753135,0.013286816,-0.002640186,-0.010924795
2,0.007488618,-0.0029135374,0.012315349,0.016056867,0.007051868,0.00080419314,0.011580466,0.0033713647,0.005505665,-0.0061683664,-0.007887653,-0.009054325,0.008219706,-0.00046957924,0.002197236,-0.0081753135,0.013286816,-0.002640186,-0.010924795
3,0.007488618,-0.0029135374,0.012315349,0.016056867,0.007051868,0.00080419314,0.011580466,0.0033713647,0.005505665,-0.0061683664,-0.007887653,-0.009054325,0.008219706,-0.00046957924,0.002197236,-0.0081753135,0.013286816,-0.002640186,-0.010924795
4,0.007488618,-0.0029135374,0.012315349,0.016056867,0.007051868,0.00080419314,0.011580466,0.0033713647,0.005505665,-0.0061683664,-0.007887653,-0.009054325,0.008219706,-0.00046957924,0.002197236,-0.0081753135,0.013286816,-0.002640186,-0.010924795
5,0.007488618,-0.0029135374,0.012315349,0.016056867,0.007051868,0.00080419314,0.011580466,0.0033713647,0.005505665,-0.0061683664,-0.007887653,-0.009054325,0.008219706,-0.00046957924,0.002197236,-0.0081753135,0.013286816,-0.002640186,-0.010924795
6,0.009952816,-0.015883492,0.01465178,0.013261659,0.006921319,-0.01102674,0.0023530966,-0.0051295008,0.0070339586,-0.00076408545,-0.01264889,-0.00180501,0.0038263162,-0.0114255855,-0.0035066016,-0.0007784946,0.008666803,0.027141947,-0.01513139
7,0.009952816,-0.015883492,0.01465178,0.013261659,0.006921319,-0.01102674,0.0023530966,-0.0051295008,0.0070339586,-0.00076408545,-0.01264889,-0.00180501,0.0038263162,-0.0114255855,-0.0035066016,-0.0007784946,0.008666803,0.027141947,-0.01513139
8,0.009952816,-0.015883492,0.01465178,0.013261659,0.006921319,-0.01102674,0.0023530966,-0.0051295008,0.0070339586,-0.00076408545,-0.01264889,-0.00180501,0.0038263162,-0.0114255855,-0.0035066016,-0.0007784946,0.008666803,0.027141947,-0.01513139
9,0.009952816,-0.015883492,0.01465178,0.013261659,0.006921319,-0.01102674,0.0023530966,-0.0051295008,0.0070339586,-0.00076408545,-0.01264889,-0.00180501,0.0038263162,-0.0114255855,-0.0035066016,-0.0007784946,0.008666803,0.027141947,-0.01513139
10,0.009952816,-0.015883492,0.01465178,0.013261659,0.006921319,-0.01102674,0.0023530966,-0.0051295008,0.0070339586,-0.00076408545,-0.01264889,-0.00180501,0.0038263162,-0.0114255855,-0.0035066016,-0.0007784946,0.008666803,0.027141947,-0.01513139
11,0.009952816,-0.015883492,0.01465178,0.013261659,0.006921319,-0.01102674,0.0023530966,-0.0051295008,0.0070339586,-0.00076408545,-0.01264889,-0.00180501,0.0038263162,-0.0114255855,-0.0035066016,-0.0007784946,0.008666803,0.027141947,-0.01513139
12,0.0110698305,-0.01094936,0.0069897464,-0.004624325,-0.0023679528,-0.0060334527,0.011140748,-0.006957213,-0.0025690733,0.0054475004,-0.0036293156,-0.0067588617,-0.0046262345,-0.0075084222,0.0006270319,-0.009434416,0.009836371,0.0130652115,0.0032675436
13,0.0110698305,-0.01094936,0.0069897464,-0.004624325,-0.0023679528,-0.0060334527,0.011140748,-0.006957213,-0.0025690733,0.0054475004,-0.0036293156,-0.0067588617,-0.0046262345,-0.0075084222,0.0006270319,-0.009434416,0.009836371,0.0130652115,0.0032675436
