,1,2,3,4,5,6
0,0.06554836,-0.074144326,-0.0017937482,0.13654405,-0.085125506,0.077021934
1,0.07658231,0.022651974,0.0679667,0.14202967,-0.14563766,0.08540148
2,0.15202275,0.1284013,-0.048095066,0.078946084,-0.19606239,0.03557146
3,0.10115917,-0.0490021,-0.01578688,0.14458548,-0.10818056,-0.0892704
4,-0.051264897,-0.022556914,-0.08369994,0.12842439,-0.0035776272,0.009181866
5,0.047362417,0.15104187,-0.11628385,0.09512426,0.036966853,0.100074954
6,0.06554836,-0.074144326,-0.0017937482,0.13654405,-0.085125506,0.077021934
7,0.047362417,0.15104187,-0.11628385,0.09512426,0.036966853,0.100074954
8,0.07658231,0.022651974,0.0679667,0.14202967,-0.14563766,0.08540148
9,-0.051264897,-0.022556914,-0.08369994,0.12842439,-0.0035776272,0.009181866
10,0.10115917,-0.0490021,-0.01578688,0.14458548,-0.10818056,-0.0892704
11,0.15202275,0.1284013,-0.048095066,0.078946084,-0.19606239,0.03557146
12,0.15202275,0.1284013,-0.048095066,0.078946084,-0.19606239,0.03557146
13,-0.051264897,-0.022556914,-0.08369994,0.12842439,-0.0035776272,0.009181866
14,0.10115917,-0.0490021,-0.01578688,0.14458548,-0.10818056,-0.0892704
15,0.06554836,-0.074144326,-0.0017937482,0.13654405,-0.085125506,0.077021934
16,0.07658231,0.022651974,0.0679667,0.14202967,-0.14563766,0.08540148
17,0.047362417,0.15104187,-0.11628385,0.09512426,0.036966853,0.100074954
18,0.06554836,-0.074144326,-0.0017937482,0.13654405,-0.085125506,0.077021934
19,0.047362417,0.15104187,-0.11628385,0.09512426,0.036966853,0.100074954
20,0.10115917,-0.0490021,-0.01578688,0.14458548,-0.10818056,-0.0892704
21,0.07658231,0.022651974,0.0679667,0.14202967,-0.14563766,0.08540148
22,0.15202275,0.1284013,-0.048095066,0.078946084,-0.19606239,0.03557146
23,-0.051264897,-0.022556914,-0.08369994,0.12842439,-0.0035776272,0.009181866
