latency,
52052.75,125529.012
99564.25,240106.4677
608993.5,1468632.347
673744.25,1624783.514
706248.25,1703169.286
708437,1708447.617
782187.75,1886302.942
814691.75,1964688.715
823736.75,1986501.393
889987.5,2146269.92
922495,2224664.133
923877,2227996.927
1001878,2416102.041
1034385,2494495.048
1043176.75,2515696.996
1104677.5,2664010.551
1137182,2742397.529
1138170.5,2744781.369
1210671.5,2919622.831
1243175.25,2998008
1243175,
2998008,
