latency,
46148.5,119807.653
93657,243146.0471
629455.25,1634149.672
707456,1836650.009
739959.75,1921034.073
744611.5,1933110.636
806112.25,2092774.775
838616.75,2177160.786
842742,2187870.485
907492.75,2355972.057
940000.25,2440365.857
945272,2454052.022
1017773,2642274.275
1050276.75,2726658.339
1054992.25,2738900.405
1128743,2930367.176
1161250.25,3014760.327
1163318.75,3020130.428
1229569.5,3192126.2
1262077,3276520
1262077,
3276520,
