latency,
54274,125769.4154
101779.5,235854.1514
107777.5,249753.3473
185778.25,430504.8807
218285.25,505833.5167
225720.5,523063.2592
298221.25,691069.6148
330725,766390.7195
336847,780577.2611
398347.75,923093.261
430852,998415.5243
435380.75,1008910.02
499881.5,1158377.935
532392.25,1233715.261
539594.25,1250404.492
606345,1405086.343
638849,1480408.027
649284,1504589.106
723035,1675492.672
755538.75,1750813.776
1206681,
2796248,
