latency,
37171,83351.89524
84675.75,189876.0928
581235.5,1303356.932
641202.25,1437825.799
673706.5,1510713.019
677775,1519836.184
755776,1694744.881
788279.75,1767630.98
791855,1775648.086
856605.75,1920844.549
889110,1993731.769
892508.5,2001352.533
965009.5,2163928.082
997513.25,2236814.181
1001312,2245332.462
1067562.75,2393892.51
1100070.25,2466787.018
1103725.5,2474983.515
1177476.5,2640362.053
1209983.75,2713256
1209983,
2713256,
