latency,
52030.5,127738.3308
99538.5,244373.624
102009.75,250440.7068
161429.75,396320.7506
193937.25,476128.8206
196992.5,483629.6622
263743.5,647507.7975
296247.5,727307.2748
299626.25,735602.3303
373377,916665.3165
405881,996464.7939
410942.75,1008891.726
483443.75,1186886.493
515951,1266693.949
520326.25,1277435.479
598327.25,1468933.111
630834.25,1548739.953
635892.75,1561158.906
700393.5,1719512.529
732898,1799313.233
1167522,
2866344,
