latency,
46523.75,98960.08038
94033,200016.4053
108460.5,230704.9582
186461.25,396619.3672
218965.25,465758.2147
229760,488719.5909
303511,645594.4105
336014.75,714732.7261
353376.25,751662.1533
425877,905877.5819
458381,975016.4293
465819.5,990838.7686
530320,1128036.967
562827.75,1197183.791
573356.25,1219578.83
640107,1361563.506
672611,1430702.354
683009.5,1452820.871
744510.25,1583638.339
777014.5,1652777.718
1308234,
2782728,
