latency,
46946.75,113719.6309
94454.75,228798.7838
97632.75,236496.8883
175633.75,425439.5718
208144,504189.5093
219979,532857.5605
284480,689099.045
316987.5,767842.3211
319312.75,773474.7999
391813.75,949094.7727
424321,1027837.443
427396,1035286.05
488896.75,1184259.995
521404.5,1263003.877
525209.75,1272221.376
591960.75,1433913.061
624468.25,1512656.337
629733.25,1525409.804
703484.25,1704057.666
735988,1782791.859
1233972,
2989064,
