latency,
51594.5,196291.4358
99100,377026.2585
102821.25,391183.7657
169572.25,645138.153
202076,768798.771
205904.75,783365.2623
267405.25,1017344.106
299909.75,1141007.577
308081.5,1172097.026
372582.25,1417490.33
405089.75,1541165.215
412645,1569909.187
486395.75,1850494.145
518899.5,1974154.763
525194.75,1998105.061
597695.5,2273934.39
630199.25,2397595.008
638651,2429749.717
716652,2726504.765
749159,2850177.747
808463,
3075800,
