latency,
48780.75,121336.6458
96289.25,239508.7123
539230.5,1341275.404
600731.5,1494252.245
633242.5,1575119.712
649320.5,1615111.935
723071.75,1798559.899
755575.25,1879408.711
766900.5,1907579
844901.5,2101597.741
877408.5,2182455.259
885540.25,2202682.075
951791,2367473.387
984298.5,2448332.148
996950.25,2479801.958
1069451,2660139.444
1101958.25,2740997.583
1109450.25,2759633.093
1174201,2920693.323
1206705.25,3001544
1206705,
3001544,
