latency,
52627.75,109907.4971
100139,209129.7244
102666.75,214408.6633
176417.75,368429.8369
208921.5,436310.4856
210873.5,440387.0314
283374.5,591797.7121
315878.25,659678.3608
325310,679375.5744
389810.75,814078.578
422318.25,881967.0582
424507,886538.0314
502507.75,1049434.359
535015,1117322.317
541850,1131596.493
603350.75,1260034.313
635855,1327916.006
640743.5,1338125.122
707494.25,1477527.013
739998.5,1545408.706
1152200,
2406248,
