latency,
50325.25,1544.123156
97833.25,3001.804994
99438,3051.043331
177439,5444.337956
209945.5,6441.730704
217280.75,6666.797234
278781.5,8553.816815
311285.75,9551.140527
317480.75,9741.220913
391231.75,12004.11334
423738.75,13001.52142
425174,13045.55902
497675,15270.09785
530178.75,16267.40622
534020.5,16385.28214
600771.5,18433.39446
633275.5,19430.7105
634414,19465.64295
698914.75,21444.71115
731422.25,22442.13458
1142983,
35070,
