latency,
55798,4884.216424
103306,9042.776835
112940.25,9886.100289
186691.25,16341.81278
219198.25,19187.27719
224833.25,19680.5307
291584.25,25523.50591
324088.25,28368.70772
328510,28755.76073
390011,34139.18297
422515.25,36984.40667
425353.5,37232.84975
503354.75,44060.60319
535861.5,46906.04572
538436.75,47131.46739
610937.75,53477.76251
643441.5,56322.94243
647853.25,56709.12011
712354,62355.12216
744861.25,65200.60846
751526,
65784,
