latency,
74332.75,1425.635215
121838.75,2336.75752
125946.5,2415.540466
190447.25,3652.606774
222954.75,4276.071354
228596.5,4384.275039
306597.5,5880.263986
339104.5,6503.718976
345296.25,6622.471166
417797,8012.97027
450300.75,8636.362928
455269.25,8731.654285
516770.25,9911.188088
549274.5,10534.59034
553526.25,10616.13507
620277.25,11896.35915
652781.25,12519.7566
659576,12650.07379
733327.25,14064.55636
765834.25,14688.01135
1236033,
23706,
