latency,
43179.75,936.3649157
93713.75,2032.208793
93781.25,2033.672549
155286.25,3367.42562
187786.25,4072.197179
204861,4442.467893
271619.25,5890.139154
304119.25,6594.910714
309061,6702.07394
375069.25,8133.481242
407569.25,8838.252802
410091.25,8892.943075
465096.5,10085.74726
497596.5,10790.51881
510243.25,11064.76711
588251.25,12756.39234
620751.25,13461.1639
623889.75,13529.22315
697647.75,15128.68594
730147.75,15833.4575
1152118,
24984,
