latency,
43179.75,125309.4921
93713.75,271961.3341
93781.25,272157.222
155286.25,450647.3779
187786.25,544963.776
204861,594515.4351
271619.25,788250.7485
304119.25,882567.1467
309061,896908.3178
375069.25,1088467.099
407569.25,1182783.497
410091.25,1190102.45
465096.5,1349730.051
497596.5,1444046.45
510243.25,1480747.862
588251.25,1707130.434
620751.25,1801446.832
623889.75,1810554.894
697647.75,2024603.783
730147.75,2118920.181
1152118,
3343496,
